% Model:              CantileverBeam_Success.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jun 14 2024, 21:41
% Dimension:          2
% Nodes:              183
% Expressions:        6
% Description:        Displacement field, Y-component
% Length unit:        m
% Eigenvalues:        [17.688, 111.22, 312.76, 625.77, 1073.1, 1077.4] Hz
% X                       Y                        v2 (m) @ lambda=1        v2 (m) @ lambda=2        v2 (m) @ lambda=3        v2 (m) @ lambda=4        v2 (m) @ lambda=5        v2 (m) @ lambda=6
0.5011700623999762        0.0127                   3.4135110402501405E-7    7.154321609549404E-7     -1.401756354733424E-9    -7.656187435330863E-7    2.099672727992168E-7     5.648980002098535E-15
0.5014457266168306        0.0127                   3.416727564595739E-7     7.152916855360342E-7     -2.9726803134515328E-9   -7.653562252346983E-7    2.128006380343256E-7     5.722981962689113E-15
0.5017964891376292        0.0127                   3.4208216602960007E-7    7.151111881664656E-7     -4.97124841341684E-9     -7.650114600525909E-7    2.1640049525071196E-7    5.817033105867621E-15
0.5021472516584274        0.0127                   3.424917214814654E-7     7.149287276209081E-7     -6.969446610203546E-9    -7.646546836619393E-7    2.1999422313625427E-7    5.910936565951356E-15
0.502503845201124         0.0127                   3.429082346779084E-7     7.147412210750287E-7     -9.000467513699131E-9    -7.642796695746314E-7    2.236413093499941E-7     6.006241748964774E-15
0.5028604387438206        0.0127                   3.4332489827965376E-7    7.145516847303577E-7     -1.1031074058641206E-8   -7.638922533470368E-7    2.2728185830131262E-7    6.101394850768522E-15
0.5032170322865172        0.0127                   3.4374171210173575E-7    7.143601181864503E-7     -1.306125008625193E-8    -7.634924411520213E-7    2.309157681540973E-7     6.196378048146777E-15
0.5035736258292137        0.0127                   3.4415867595928016E-7    7.141665210504072E-7     -1.5090979438711678E-8   -7.630802394215463E-7    2.3454293730205684E-7    6.2912002723519755E-15
0.5039302193719103        0.0127                   3.4457578966745815E-7    7.139708929331069E-7     -1.712024595877362E-8    -7.626556547181296E-7    2.3816326425735039E-7    6.385841882838362E-15
0.5042868129146069        0.0127                   3.449930530415328E-7     7.137732334529722E-7     -1.9149033490491384E-8   -7.622186938631079E-7    2.417766477692905E-7     6.480325287080765E-15
0.5046434064573033        0.0127                   3.4541046589681314E-7    7.135735422322004E-7     -2.1177325878662285E-8   -7.617693638082325E-7    2.453829867093506E-7     6.57462744276904E-15
0.5049999999999999        0.0127                   3.458280280486997E-7     7.133718189005265E-7     -2.320510696972343E-8    -7.613076717637824E-7    2.4898218019346467E-7    6.668757646594644E-15
